
  STNR     EAST    NORTH      LON      LAT YEAR         MONTH  DAY     RR_1
 68170   272030  7040801  10.4303  63.4225 1967         10     15        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     15        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     16        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     16        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     16        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     16       1.8
 68170   272030  7040801  10.4303  63.4225 1967         10     16       2.4
 68170   272030  7040801  10.4303  63.4225 1967         10     17        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     17       1.2
 68170   272030  7040801  10.4303  63.4225 1967         10     17       2.2
 68170   272030  7040801  10.4303  63.4225 1967         10     18        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     18        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     18        .6
 68170   272030  7040801  10.4303  63.4225 1967         10     18        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     19        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     19        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     19        .6
 68170   272030  7040801  10.4303  63.4225 1967         10     19       1.0
 68170   272030  7040801  10.4303  63.4225 1967         10     19       1.2
 68170   272030  7040801  10.4303  63.4225 1967         10     19       1.4
 68170   272030  7040801  10.4303  63.4225 1967         10     19       1.6
 68170   272030  7040801  10.4303  63.4225 1967         10     19       2.0
 68170   272030  7040801  10.4303  63.4225 1967         10     21        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     21        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     22        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     22        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     22        .6
 68170   272030  7040801  10.4303  63.4225 1967         10     22        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     22       1.4
 68170   272030  7040801  10.4303  63.4225 1967         10     25       1.4
 68170   272030  7040801  10.4303  63.4225 1967         10     25       1.8
 68170   272030  7040801  10.4303  63.4225 1967         10     26        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     28        .2
 68170   272030  7040801  10.4303  63.4225 1967         10     28        .4
 68170   272030  7040801  10.4303  63.4225 1967         10     28        .8
 68170   272030  7040801  10.4303  63.4225 1967         10     28       1.0
