V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V63 V64 V65 V66 V67 V68 V69
1994 3.35 NA 3.1 NA 3.14 NA 3.42 3.43 2.9 NA NA 2.95 NA NA 4.15 NA NA NA 3.55 NA NA 3.52 3.31 NA NA 4.44 NA NA 3.88 3.19 4.13 NA NA NA 4.18 NA NA NA 3.23 NA 2.38 NA 2.58 2.76 NA 3.1 2.89 NA 4.15 NA NA 2.02 NA 1.87 NA NA 2.22 1.61 NA NA 2.45 NA 1.76 NA NA
1995 3.36 NA 3.07 NA 2.54 NA 2.54 2.78 3.13 NA NA NA 3.08 NA 2.73 NA NA 2.73 2.53 NA NA 2.87 3.05 NA NA 3.22 2.98 2.68 3.38 NA 3.3 NA NA NA NA NA NA NA 4.69 NA 2.62 NA 3.34 2.63 NA 2.28 2.05 NA NA NA NA NA NA 1.65 NA NA 1.91 2.03 NA NA 2.42 NA 1.83 NA NA
1996 NA NA NA NA NA NA 2.29 2.66 2.93 NA NA NA 2.6 NA 2.76 NA NA 2.06 2.66 NA NA 2.6 4.07 NA NA 3.27 2.46 3.15 3.18 NA NA NA NA NA 3.28 NA NA 3.07 3.04 3.29 3.85 NA 2.63 3.61 NA 2.78 2.5 NA 2.4 NA NA NA NA 1.99 NA NA 1.65 2.12 NA NA 2.59 NA 1.9 NA NA
1997 NA NA NA NA NA NA 3.09 NA NA NA NA NA 2.88 NA 4 NA NA 2.4 2.8 NA NA 2.75 NA NA NA 3.71 NA NA 4.44 NA NA NA NA NA NA 3.31 NA NA 3.39 3.83 3.26 NA 2.73 3.58 NA 2.43 3.41 NA NA NA NA NA NA 2.05 NA NA 2.55 2.4 NA NA 2.17 NA 2 NA NA
1998 NA NA NA NA NA NA 2.79 NA 2.16 NA NA NA 2.83 NA 2.36 NA NA 2.41 2.55 NA NA 2.37 NA NA NA NA NA NA 2.98 NA NA NA NA NA NA 3 NA NA NA 3.29 2.85 NA 2.15 3.18 NA 2.21 2.59 NA NA NA NA NA NA 2.39 NA NA NA 1.91 NA NA 2.01 NA 1.85 NA NA
1999 NA NA NA NA 3.5 NA 3.28 NA 2.47 NA NA NA 2.97 NA 4.2 3.19 NA NA NA 3.13 NA 2.99 NA NA NA NA NA NA 3.65 NA NA NA 3.65 NA NA 2.71 NA NA NA 3.79 3.26 NA 2.42 2.95 NA 2.37 2.65 NA NA NA NA NA NA 2.79 NA NA 2.24 2.53 NA NA 2.1 NA 2.14 NA NA
2000 NA NA NA NA NA NA 2.65 NA 2.01 NA NA NA 2.46 NA 2.33 2.71 NA 2.68 2.86 3.38 NA 2.89 NA NA NA NA NA NA 3.03 NA NA 3.2 3.02 NA NA 2.68 NA NA NA 4.01 3.6 NA 2.76 3.79 NA 2.29 2.94 NA NA NA NA NA NA 2.33 NA NA 2.18 1.92 NA NA 2.3 NA 1.92 NA NA
2001 NA NA NA NA 3.17 NA 2.52 NA 2.25 NA NA NA 2.81 2.78 2.14 3.39 NA 2.56 3.24 2.72 NA 2.98 NA NA 3.04 NA NA NA 3.2 NA NA 3.68 NA NA NA NA NA NA NA 3.39 3.11 NA 2.23 2.55 NA 2.11 2.86 NA NA NA NA NA NA 1.82 NA NA 2.15 2.5 NA NA 2.86 NA 2.54 NA NA
2002 NA NA NA NA 3.43 NA 2.95 NA 2.67 NA NA NA 3.24 3.51 3.02 3.43 NA 3.32 3.27 3.5 NA 2.9 NA 3.14 NA NA NA NA 3.28 NA NA 3.95 2.66 NA NA NA NA NA NA 3.63 3.22 NA 2.45 3.69 NA 3.05 3.12 NA 3.7 NA NA NA NA 1.82 NA NA 2.23 2.02 NA NA 2.77 NA 2.22 NA NA
2003 NA NA NA 3.19 2.67 NA 2.59 NA 2.97 NA NA NA 2.58 2.86 3.05 NA NA NA 3 3.04 NA 3.26 NA NA NA NA NA NA 2.86 NA NA 3.39 2.91 NA NA NA NA NA NA 3.05 3.33 NA 2.53 3.14 NA 2.65 NA NA 3.47 NA NA NA NA 1.04 NA NA 2.34 2.18 NA NA 2.77 NA 2.61 NA NA
