V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V63 V64 V65 V66 V67 V68 V69
1994 20.2 NA 7.4 NA 12.9 NA 13.6 8.4 NA NA NA 10.6 NA NA 15.5 NA NA NA 15.1 NA NA 13 12 NA NA 19 NA NA 23.8 11.4 24.2 NA NA NA 23.6 NA NA NA 33.3 NA 16.6 NA 14.8 20.5 NA 23.8 14.6 NA 8.2 NA NA 12.4 NA 12.4 NA NA 17.3 7.4 NA NA 44.6 NA 7.4 NA NA
1995 15.6 NA 16.6 NA 11.2 NA 26.5 19.2 19.1 NA NA NA 39.4 NA 13.2 NA NA 8.6 8.7 NA NA 26.9 26.9 NA NA 14.1 19.6 14 16.2 NA 12.4 NA NA NA NA NA NA NA 19.8 NA 12.8 NA 20.4 11.8 NA 10.6 NA NA NA NA NA NA NA 12 NA NA 13.8 17.2 NA NA 15.9 NA 9.2 NA NA
1996 NA NA NA NA NA NA 22 10.4 17.4 NA NA NA 8.4 NA 24.9 NA NA 6 19.5 NA NA 16.6 18.8 NA NA 15.1 13.2 12.6 15 NA NA NA NA NA 21.8 NA NA 18.8 15.4 10.8 37.8 NA 14.2 10.7 NA 29 20.8 NA 16.5 NA NA NA NA 11.6 NA NA 7.7 7.5 NA NA 18.3 NA 5.1 NA NA
1997 NA NA NA NA NA NA 23.5 NA NA NA NA NA 23.4 NA 22.8 NA NA 8.8 15 NA NA 18.5 NA NA NA 14.2 NA NA 23.8 NA NA NA NA NA NA 11.6 NA NA 19.4 22.9 19.8 NA 21.2 32.8 NA 24.8 26.2 NA NA NA NA NA NA 18.8 NA NA 11.9 8.8 NA NA 9.8 NA 12.3 NA NA
1998 NA NA NA NA NA NA 12.8 NA 7.4 NA NA NA 17.2 NA NA NA NA 13.2 11.4 NA NA 12.4 NA NA NA NA NA NA 15.2 NA NA NA NA NA NA 22.6 NA NA NA 14 14.6 NA 18.4 66.4 NA 12.2 14.6 NA NA NA NA NA NA 14.4 NA NA NA 9.7 NA NA 11.2 NA 11.3 NA NA
1999 NA NA NA NA 12.5 NA 26.8 NA 13.2 NA NA NA 17.6 NA 26.6 18.6 NA NA NA 16.8 NA 28.2 NA NA NA NA NA NA 34.6 NA NA NA 20.8 NA NA 11.8 NA NA NA 21.9 17 NA 11.2 14 NA 12.2 14 NA NA NA NA NA NA 23 NA NA 13.8 12.8 NA NA 17.8 NA 16.9 NA NA
2000 NA NA NA NA NA NA 14.6 NA 10.6 NA NA NA 14.4 NA NA 15.4 NA 17.6 25.5 23.9 NA 28 NA NA NA NA NA NA 11 NA NA 17.7 8.8 NA NA 16.2 NA NA NA 29.4 25.2 NA 24 68.9 NA 19.6 19.6 NA NA NA NA NA NA 16.6 NA NA 11.9 10.1 NA NA 11.3 NA 10.6 NA NA
2001 NA NA NA NA 14.2 NA 23.5 NA 13.4 NA NA NA 25.8 11.3 9.1 25.8 NA 11 17.3 12.3 NA 12.4 NA NA 14.1 NA NA NA 23.6 NA NA 16.6 NA NA NA NA NA NA NA 20 24.8 NA 21.2 12.9 NA 13.6 19 NA NA NA NA NA NA 8 NA NA 11.8 13.7 NA NA 62.4 NA 47.1 NA NA
2002 NA NA NA NA 39.7 NA 12.8 NA 17.8 NA NA NA 33.2 38.3 24.7 28.2 NA 25.4 31.8 29 NA 16.8 NA 26.1 NA NA NA NA 14.2 NA NA 21.8 7.2 NA NA NA NA NA NA 20.5 19 NA 11.2 36.4 NA 27.9 15.4 NA 46.3 NA NA NA NA 12.8 NA NA 22.1 7.9 NA NA 24.1 NA 13.9 NA NA
2003 NA NA NA 9.9 17.3 NA 11.4 NA 11.6 NA NA NA 18.4 20.3 15.3 NA NA NA 14.4 17.7 NA 18.3 NA NA NA NA NA NA 14.8 NA NA 15 11.7 NA NA NA NA NA NA 15.2 20.4 NA 16 20.2 NA 15.4 NA NA 19.1 NA NA NA NA 2.4 NA NA 19.6 20.6 NA NA 19.3 NA 32.5 NA NA
2004 NA NA NA 14.2 14.4 NA 28.8 NA NA NA NA NA NA 19.1 14.9 14.5 39.4 NA 13.9 16.1 NA 16.5 NA 13.1 13.1 NA NA NA 41.8 NA NA 16 25.8 NA NA NA NA NA NA NA NA NA NA 12.6 NA NA NA NA NA NA NA NA NA 15 NA NA 14.4 12.3 NA NA 12 NA 14.8 NA NA
2005 NA NA NA 6.6 NA NA 17.2 NA NA NA NA NA NA 20.8 18.9 17.9 17.7 NA NA 14.8 NA 11.3 NA 10.8 10.5 NA NA NA 10.8 NA NA 23 49.1 NA NA NA NA NA NA NA NA NA NA 20.3 NA NA NA NA 8.1 NA NA NA NA 9 NA NA 15.6 30.3 NA NA 18.3 NA 14.2 NA NA
2006 NA NA NA 12.5 NA NA 16.4 NA 12.8 NA NA NA NA 18.6 31.7 19.6 46.4 NA 28.1 21 NA 15 NA 13.3 17.9 NA 24.1 33.4 20.3 NA NA 22.2 NA NA NA NA NA NA NA NA NA NA NA 25.1 NA NA NA NA NA NA NA NA NA 32.3 NA NA 11 24.9 NA NA 22.8 NA 8.5 NA NA
2007 NA NA NA 20.5 NA NA 11.6 NA 12.4 NA NA NA NA 30.6 17 56.3 24.9 NA 16.3 18.1 NA 19.9 NA 27.5 26.7 NA 57.2 45.2 16.2 NA NA 18.6 NA NA NA NA NA NA NA NA NA NA NA 22.6 NA NA NA NA 15.3 NA NA NA NA 18.1 NA NA NA 22.1 NA NA 21.7 NA 8.8 NA NA
2008 NA NA NA 7.4 NA NA NA NA 9.9 NA NA NA NA 11.9 28.7 22.9 19.2 NA 31.1 27.8 NA 29.8 NA 25.4 23.4 NA NA NA NA NA NA 17.2 NA NA NA NA NA NA NA NA NA NA NA 21 NA NA NA NA NA NA NA NA NA NA NA NA NA 37.1 NA NA 15.4 NA 6.7 NA NA
2009 NA NA 11.6 14.3 NA NA 16.8 NA 10.5 NA NA NA NA 10.3 9.5 12.7 10.3 NA 21.1 20.8 NA 19.4 NA 13.7 13.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29.3 NA NA NA 22.3 NA NA NA NA NA NA NA NA NA NA NA NA NA 13.5 NA NA 12 NA 10 NA NA
2010 NA NA 14.3 16.9 NA NA NA NA 16.4 NA NA NA NA 15.2 34.6 12.3 16.3 NA 17.3 15.2 NA 16.8 NA 24.4 31.9 NA NA NA NA NA NA 33.1 NA NA NA NA NA NA NA 20.1 NA NA NA 12.4 NA NA NA NA NA NA NA NA NA NA NA NA NA 10 NA NA 10.5 NA 11.3 NA NA
2011 NA NA 18.5 18.8 NA NA NA NA 18 NA NA NA NA 22.1 19.6 23.7 32.6 NA 20.1 22.4 NA 31.7 NA 32.7 28.4 NA NA NA NA NA NA 21.9 23.4 NA NA NA NA NA NA 24.6 NA NA NA 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 15.1 NA 8.6 NA NA
2012 NA NA NA 28.4 NA NA NA NA 16.9 NA NA NA 20.4 12.7 11.7 17.6 19.4 14.2 19.4 10.9 NA 11.2 NA 11.9 15.6 NA NA NA 13.9 NA NA 29.7 41.3 NA NA NA NA NA NA 30.8 34.5 NA 11.2 17 NA 14 NA NA 29.6 NA NA NA NA 9.2 NA NA 9.7 NA NA NA 13.5 NA 11.2 NA NA
2013 NA NA 16.7 10.6 NA NA NA NA 12.5 NA NA NA NA 15.4 15.2 18.1 28 19.4 11.6 29.2 NA 21.8 NA 24.5 15.4 NA NA NA 37.6 NA NA 20.7 20.1 NA NA NA NA NA NA 18.8 34.8 NA 10.5 41 NA 11.2 NA NA 18.1 NA NA NA NA 9.7 NA NA 15.6 47.2 NA NA 14 NA 17.4 NA NA
2014 NA NA NA NA NA NA NA NA 26.7 NA NA NA NA 25.6 15.5 23.7 12.9 NA NA 19.9 NA 47.8 NA 23.3 19.7 NA NA NA 19.7 NA NA 18.5 53.1 NA NA NA NA NA NA 60.6 NA NA NA 41.8 NA NA NA NA NA NA NA NA NA NA NA NA NA 7.9 NA NA NA NA 8.3 NA NA
